page_id,name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first_appearance,year,days_since_first_appearance
754529,Chuck_Brandon_Earth616,Chuck_Brandon_Earth616,Public Identity,Neutral Characters,,Brown Hair,Male Characters,,False,1,1945-06-01,1945,26829
505702,Cracksmith_Earth616,Cracksmith_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-03-01,1945,26921
508460,Crimorto_Earth616,Crimorto_Earth616,Secret Identity,Bad Characters,,Bald,Male Characters,,False,1,1945-06-01,1945,26829
754533,Danbury_Fawcett_Earth616,Danbury_Fawcett_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-07-01,1945,26799
505646,Detective_Brady_Earth616,Detective_Brady_Earth616,Secret Identity,Bad Characters,,Brown Hair,Male Characters,,False,1,1945-03-01,1945,26921
683913,Diavolo_Earth616,Diavolo_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-08-01,1945,26768
510248,Doctor_Colosso_Earth616,Doctor_Colosso_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-07-01,1945,26799
507730,Doctor_Hades_Earth616,Doctor_Hades_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-04-01,1945,26890
506878,Doctor_Herzog_Earth616,Doctor_Herzog_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-03-01,1945,26921
516216,Doctor_Lammon_Earth616,Doctor_Lammon_Earth616,Secret Identity,Bad Characters,,Brown Hair,Male Characters,,False,1,1945-12-01,1945,26646
505694,Doctor_Nichi_Earth616,Doctor_Nichi_Earth616,Public Identity,Bad Characters,,Brown Hair,Male Characters,,False,1,1945-03-01,1945,26921
510107,Doctor_Nitro_Earth616,Doctor_Nitro_Earth616,Secret Identity,Bad Characters,,Bald,Male Characters,,False,1,1945-06-01,1945,26829
508429,Doctor_Throttle_Earth616,Doctor_Throttle_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-06-01,1945,26829
505123,Doctor_von_Helstog_Earth616,Doctor_von_Helstog_Earth616,Public Identity,Bad Characters,,White Hair,Male Characters,,False,1,1945-01-01,1945,26980
708968,Dotty_Benson_Earth616,Dotty_Benson_Earth616,Public Identity,Neutral Characters,,Blond Hair,Female Characters,,False,1,1945-09-01,1945,26737
507888,Douglas_van_Horn_Earth616,Douglas_van_Horn_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-03-01,1945,26921
708958,Ed_Jordan_Earth616,Ed_Jordan_Earth616,Public Identity,Neutral Characters,,Black Hair,Male Characters,,False,1,1945-06-01,1945,26829
708971,Ed_Rutgers_Earth616,Ed_Rutgers_Earth616,Public Identity,Neutral Characters,,White Hair,Male Characters,,False,1,1945-09-01,1945,26737
505705,Epicure_Earth616,Epicure_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-03-01,1945,26921
512298,Fox_Miss_America_Foe_Earth616,Fox_Miss_America_Foe_Earth616,,Bad Characters,,Black Hair,Male Characters,,False,1,1945-11-01,1945,26676
514216,Frank_Lavalle_Earth616,Frank_Lavalle_Earth616,Secret Identity,Bad Characters,,Bald,Male Characters,,False,1,1945-12-01,1945,26646
709112,Franz_Egraus_Earth616,Franz_Egraus_Earth616,Public Identity,Bad Characters,,Bald,Male Characters,,False,1,1945-12-01,1945,26646
505590,Franz_Neunmensch_Earth616,Franz_Neunmensch_Earth616,Secret Identity,Bad Characters,,White Hair,Male Characters,,False,1,1945-02-01,1945,26949
708935,Gaillard_Earth616,Gaillard_Earth616,Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,,False,1,1945-03-01,1945,26921
512294,Genrami_Earth616,Genrami_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-10-01,1945,26707
708956,George_Jordan_Earth616,George_Jordan_Earth616,Public Identity,Bad Characters,,White Hair,Male Characters,,False,1,1945-03-01,1945,26921
708964,George_Reynolds_Earth616,George_Reynolds_Earth616,No Dual Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1945-09-01,1945,26737
709067,George_Whitaker_Earth616,George_Whitaker_Earth616,Public Identity,Neutral Characters,,,Male Characters,,False,1,1945-12-01,1945,26646
504756,Gregory_Smith_Earth616,Gregory_Smith_Earth616,Secret Identity,Bad Characters,,White Hair,Male Characters,,False,1,1945-01-01,1945,26980
507885,Hal_Jordan_Earth616,Hal_Jordan_Earth616,Public Identity,Good Characters,,Brown Hair,Male Characters,,False,1,1945-03-01,1945,26921
709116,Hugh_Tyson_Earth616,Hugh_Tyson_Earth616,Public Identity,Neutral Characters,,Black Hair,Male Characters,,False,1,1945-12-01,1945,26646
514183,Jack_Hasley_Earth616,Jack_Hasley_Earth616,Secret Identity,Bad Characters,Black Eyes,,Male Characters,,False,1,1945-12-01,1945,26646
